"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000260802",352.217779591539,1.79041666108132,0.259644499193327,6.89564641902239,5.36204127077454e-12,1.70727394061461e-08
"ENSG00000141753",1005.36277308055,1.06511871147233,0.213913415376955,4.97920483198961,6.38460437080056e-07,0.00101642901583145
"ENSG00000112379",1225.96069521652,-1.01655868452026,0.214191449192539,-4.74602832350446,2.0744967598929e-06,0.00220173256116634
"ENSG00000197956",382.769490214201,1.08630169959655,0.234876757432947,4.62498593504584,3.74623821214421e-06,0.00298200561686679
"ENSG00000064651",582.938022170355,-1.09370373008264,0.248177679981432,-4.40693832807393,1.04842023343291e-05,0.00556361670541731
"ENSG00000137673",568.670148975671,1.49954681875086,0.33783113693127,4.43874662463673,9.04842610351391e-06,0.00556361670541731
"ENSG00000049759",1825.88767836883,-0.895199155241154,0.21015285272979,-4.25975257348603,2.04653323230667e-05,0.00645846909626223
"ENSG00000054690",1285.93442728543,-1.1216868302378,0.260989591982774,-4.29782207679699,1.7248452645317e-05,0.00645846909626223
"ENSG00000124406",303.492557189392,-1.10091451171978,0.259495805005021,-4.24251371500392,2.21030029017071e-05,0.00645846909626223
"ENSG00000139116",288.305883441427,-1.10043092397428,0.259511339757167,-4.2403962963776,2.23125502697502e-05,0.00645846909626223
"ENSG00000157214",2286.33549595393,-1.06930019185766,0.247583137664859,-4.31895403678546,1.56770424443674e-05,0.00645846909626223
"ENSG00000099194",752.867957975323,-1.11710351685632,0.273858676442293,-4.07912406270509,4.52057088204127e-05,0.0115811765254053
"ENSG00000152377",2346.84918458364,-1.02277525452067,0.251379098356095,-4.06865670697824,4.72849544064915e-05,0.0115811765254053
"ENSG00000131844",1013.65833128334,-1.00970491194134,0.252101192513445,-4.00515722228284,6.19762457441188e-05,0.0136253755486852
"ENSG00000269936",628.566448829724,1.15817225386716,0.289770977639552,3.99685387163865,6.41898973713186e-05,0.0136253755486852
"ENSG00000184678",528.519728253467,-1.14062506467049,0.286591655746538,-3.9799660660018,6.89251061949434e-05,0.0137160961327937
"ENSG00000076706",360.737902879665,1.03749499083559,0.262680445101837,3.94964684346171,7.82665837939286e-05,0.0146588707529335
